name,description,active_ingredients,inactive_ingredients,alternatives,interactions,side_effects
"Combiflam","A popular combination pain reliever and anti-inflammatory medicine used to reduce pain, swelling, and fever.","[{""name"": ""Ibuprofen"", ""amount"": ""400mg""}, {""name"": ""Paracetamol"", ""amount"": ""325mg""}]","[""Starch"", ""Microcrystalline Cellulose"", ""Povidone"", ""Magnesium Stearate""]","[{""name"": ""Ibugesic Plus"", ""type"": ""branded"", ""price"": ""₹20 - ₹30"", ""availability"": ""High"", ""savings"": ""15%"", ""similarityScore"": 100}, {""name"": ""Flexon"", ""type"": ""branded"", ""price"": ""₹18 - ₹25"", ""availability"": ""High"", ""savings"": ""20%"", ""similarityScore"": 100}]","[{""substance"": ""Alcohol"", ""severity"": ""HIGH"", ""description"": ""Increased risk of stomach bleeding and liver toxicity.""}]","[{""name"": ""Heartburn / Indigestion"", ""frequency"": ""common""}, {""name"": ""Nausea"", ""frequency"": ""common""}]"
"Augmentin 625 Duo","An antibiotic medicine that helps treat bacterial infections of the lungs, middle ear, sinuses, skin, and urinary tract.","[{""name"": ""Amoxicillin"", ""amount"": ""500mg""}, {""name"": ""Clavulanic Acid"", ""amount"": ""125mg""}]","[""Microcrystalline Cellulose"", ""Sodium Starch Glycolate"", ""Magnesium Stearate"", ""Titanium Dioxide""]","[{""name"": ""Moxikind-CV 625"", ""type"": ""branded"", ""price"": ""₹120 - ₹140"", ""availability"": ""High"", ""savings"": ""30%"", ""similarityScore"": 100}, {""name"": ""Clavam 625"", ""type"": ""branded"", ""price"": ""₹130 - ₹150"", ""availability"": ""High"", ""savings"": ""20%"", ""similarityScore"": 100}]","[{""substance"": ""Methotrexate"", ""severity"": ""HIGH"", ""description"": ""Amoxicillin decreases the excretion of methotrexate, increasing risk of side effects.""}]","[{""name"": ""Diarrhea"", ""frequency"": ""common""}, {""name"": ""Nausea / Vomiting"", ""frequency"": ""common""}]"
"Pan D","A combination medicine used to treat gastroesophageal reflux disease (Acid Reflux) and peptic ulcer disease by relieving acidity symptoms.","[{""name"": ""Pantoprazole"", ""amount"": ""40mg""}, {""name"": ""Domperidone"", ""amount"": ""30mg""}]","[""Lactose"", ""Mannitol"", ""Hypromellose"", ""Methacrylic Acid Copolymer""]","[{""name"": ""Pantocid D"", ""type"": ""branded"", ""price"": ""₹110 - ₹130"", ""availability"": ""High"", ""savings"": ""15%"", ""similarityScore"": 100}, {""name"": ""Pantodac D"", ""type"": ""branded"", ""price"": ""₹100 - ₹120"", ""availability"": ""High"", ""savings"": ""25%"", ""similarityScore"": 100}]","[{""substance"": ""Ketoconazole"", ""severity"": ""MEDIUM"", ""description"": ""Pantoprazole reduces stomach acid, decreasing absorption and efficacy of ketoconazole.""}]","[{""name"": ""Dry Mouth"", ""frequency"": ""common""}, {""name"": ""Headache"", ""frequency"": ""uncommon""}]"
"Calpol 650","Used for relieving mild to moderate pain including toothache, headache, migraine, muscle ache, and reducing fever.","[{""name"": ""Paracetamol"", ""amount"": ""650mg""}]","[""Starch"", ""Povidone"", ""Magnesium Stearate""]","[{""name"": ""Dolo 650mg"", ""type"": ""branded"", ""price"": ""₹25 - ₹30"", ""availability"": ""High"", ""savings"": ""10%"", ""similarityScore"": 100}, {""name"": ""Crocin 650mg"", ""type"": ""branded"", ""price"": ""₹28 - ₹32"", ""availability"": ""High"", ""savings"": ""5%"", ""similarityScore"": 100}]","[{""substance"": ""Alcohol"", ""severity"": ""HIGH"", ""description"": ""Significantly increases risk of liver damage.""}]","[{""name"": ""Nausea"", ""frequency"": ""uncommon""}, {""name"": ""Allergic Skin Reaction"", ""frequency"": ""rare""}]"
"Alerid","An antihistamine medicine used to treat symptoms of seasonal allergies, hay fever, and hives.","[{""name"": ""Cetirizine Hydrochloride"", ""amount"": ""10mg""}]","[""Lactose"", ""Corn Starch"", ""Magnesium Stearate""]","[{""name"": ""Cetzine"", ""type"": ""branded"", ""price"": ""₹15 - ₹20"", ""availability"": ""High"", ""savings"": ""15%"", ""similarityScore"": 100}, {""name"": ""Zyrtec 10mg"", ""type"": ""branded"", ""price"": ""₹40 - ₹60"", ""availability"": ""High"", ""savings"": ""-100%"", ""similarityScore"": 100}]","[{""substance"": ""Alcohol / Sedatives"", ""severity"": ""MEDIUM"", ""description"": ""Increases central nervous system depression, leading to severe drowsiness.""}]","[{""name"": ""Drowsiness"", ""frequency"": ""common""}, {""name"": ""Dry Mouth"", ""frequency"": ""common""}]"
"Glycomet 500","An oral antidiabetic medicine that helps manage blood glucose levels in Type 2 Diabetes mellitus patients.","[{""name"": ""Metformin Hydrochloride"", ""amount"": ""500mg""}]","[""Povidone"", ""Magnesium Stearate"", ""Hypromellose""]","[{""name"": ""Metformin Generic 500mg"", ""type"": ""generic"", ""price"": ""₹5 - ₹10"", ""availability"": ""High"", ""savings"": ""60%"", ""similarityScore"": 100}, {""name"": ""Obimet 500mg"", ""type"": ""branded"", ""price"": ""₹15 - ₹20"", ""availability"": ""High"", ""savings"": ""10%"", ""similarityScore"": 100}]","[{""substance"": ""Iodinated Contrast Media"", ""severity"": ""HIGH"", ""description"": ""Temporarily stop Metformin before imaging to prevent lactic acidosis risk.""}]","[{""name"": ""Diarrhea"", ""frequency"": ""common""}, {""name"": ""Nausea / Vomiting"", ""frequency"": ""common""}]"
"Lipvas 10","A lipid-lowering medication (statin) used to lower high cholesterol levels and reduce the risk of heart disease.","[{""name"": ""Atorvastatin"", ""amount"": ""10mg""}]","[""Lactose Monohydrate"", ""Microcrystalline Cellulose"", ""Calcium Carbonate"", ""Magnesium Stearate""]","[{""name"": ""Atorva 10mg"", ""type"": ""branded"", ""price"": ""₹50 - ₹65"", ""availability"": ""High"", ""savings"": ""15%"", ""similarityScore"": 100}, {""name"": ""Lipitor 10mg"", ""type"": ""branded"", ""price"": ""₹120 - ₹150"", ""availability"": ""High"", ""savings"": ""-150%"", ""similarityScore"": 100}]","[{""substance"": ""Grapefruit Juice"", ""severity"": ""MEDIUM"", ""description"": ""Increases levels of atorvastatin in blood, raising risk of muscle damage.""}]","[{""name"": ""Muscle Pain (Myalgia)"", ""frequency"": ""uncommon""}, {""name"": ""Headache"", ""frequency"": ""uncommon""}]"
"Montair LC","A combination medicine used to treat and prevent allergic symptoms like runny nose, sneezing, watery eyes, congestion, and breathing difficulties.","[{""name"": ""Montelukast"", ""amount"": ""10mg""}, {""name"": ""Levocetirizine Dihydrochloride"", ""amount"": ""5mg""}]","[""Microcrystalline Cellulose"", ""Lactose Monohydrate"", ""Croscarmellose Sodium"", ""Magnesium Stearate""]","[{""name"": ""Telekast L"", ""type"": ""branded"", ""price"": ""₹120 - ₹140"", ""availability"": ""High"", ""savings"": ""15%"", ""similarityScore"": 100}, {""name"": ""Monticope"", ""type"": ""branded"", ""price"": ""₹110 - ₹130"", ""availability"": ""High"", ""savings"": ""20%"", ""similarityScore"": 100}]","[{""substance"": ""Phenobarbital"", ""severity"": ""LOW"", ""description"": ""May decrease blood levels of Montelukast, slightly reducing its efficacy.""}]","[{""name"": ""Drowsiness"", ""frequency"": ""common""}, {""name"": ""Dry Mouth"", ""frequency"": ""common""}, {""name"": ""Fatigue"", ""frequency"": ""uncommon""}]"
"Pantocid 40","Used to treat acid-related diseases of the stomach and intestine, like heartburn, acid reflux, peptic ulcer disease, and Zollinger-Ellison syndrome.","[{""name"": ""Pantoprazole"", ""amount"": ""40mg""}]","[""Mannitol"", ""Sodium Carbonate"", ""Crospovidone"", ""Magnesium Stearate""]","[{""name"": ""Pan 40mg"", ""type"": ""branded"", ""price"": ""₹110 - ₹130"", ""availability"": ""High"", ""savings"": ""10%"", ""similarityScore"": 100}, {""name"": ""Pantosec 40mg"", ""type"": ""branded"", ""price"": ""₹95 - ₹110"", ""availability"": ""High"", ""savings"": ""20%"", ""similarityScore"": 100}]","[{""substance"": ""Iron Salts"", ""severity"": ""MEDIUM"", ""description"": ""Pantoprazole decreases iron absorption due to reduced stomach acidity.""}]","[{""name"": ""Headache"", ""frequency"": ""uncommon""}, {""name"": ""Diarrhea"", ""frequency"": ""uncommon""}]"
"Omez 20","A proton pump inhibitor used to reduce stomach acid, treating heartburn, gastroesophageal reflux disease, and stomach ulcers.","[{""name"": ""Omeprazole"", ""amount"": ""20mg""}]","[""Lactose"", ""Microcrystalline Cellulose"", ""Sodium Lauryl Sulfate""]","[{""name"": ""Omee 20mg"", ""type"": ""branded"", ""price"": ""₹35 - ₹45"", ""availability"": ""High"", ""savings"": ""20%"", ""similarityScore"": 100}, {""name"": ""Omeprazole Generic 20mg"", ""type"": ""generic"", ""price"": ""₹15 - ₹25"", ""availability"": ""High"", ""savings"": ""60%"", ""similarityScore"": 100}]","[{""substance"": ""Clopidogrel"", ""severity"": ""HIGH"", ""description"": ""Omeprazole reduces the activation of clopidogrel, making it less effective at preventing blood clots.""}]","[{""name"": ""Headache"", ""frequency"": ""uncommon""}, {""name"": ""Flatulence"", ""frequency"": ""uncommon""}]"
